100000000	270
111000000	300
111111111	c0
111111111	150
111111111	1e0
111111111	0
111111111	20
200000000	280
222000000	310
222222222	1f0
222222222	d0
222222222	60
222222222	160
222222222	10
300000000	290
333000000	320
333333333	70
333333333	40
333333333	170
333333333	30
333333333	e0
333333333	200
400000000	2a0
444000000	330
444444444	f0
444444444	210
444444444	180
444444444	80
444444444	50
500000000	2b0
555555555	90
555555555	100
555555555	220
555555555	190
555555555	a0
555555555	b0
555555555	340
600000000	2c0
666666666	230
666666666	1a0
666666666	110
700000000	2d0
777777777	120
777777777	1b0
777777777	240
800000000	2e0
888888888	130
888888888	250
888888888	1c0
900000000	2f0
999999999	260
999999999	140
999999999	1d0
